id,character,emotion,voice_hint,output_path,ssml_prosody,text
nexa_boot_01,NEXA,calm,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/boot_01.mp3,"rate="0.95" pitch="-1st"","Sistem NEXA aktif. Menyiapkan Orbital Lab."
nexa_intro_01,NEXA,calm,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/intro_01.mp3,"rate="0.95" pitch="-1st"","Selamat datang di NEXA Simulation Lab."
nexa_intro_02,NEXA,calm,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/intro_02.mp3,"rate="0.95" pitch="-1st"","Di sini, kamu tidak hanya mempelajari masa depan. Kamu akan merancangnya."
nexa_hub_01,NEXA,informative,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/hub_01.mp3,"rate="0.95" pitch="-1st"","Empat simulasi telah disiapkan. Simulasi keempat terbuka setelah tiga lainnya selesai."
nexa_hub_02,NEXA,analytical,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/hub_02.mp3,"rate="0.95" pitch="-1st"","Setiap simulasi menunjukkan tantangan masa depan yang berbeda. Pilih satu untuk memulai."
nexa_hub_progress_01,NEXA,analytical,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/hub_progress_01.mp3,"rate="0.95" pitch="-1st"","Future Balance diperbarui. Masih ada simulasi yang menunggu sebelum Ruang Konstitusi terbuka."
nexa_hub_complete_01,NEXA,affirming,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/hub_complete_01.mp3,"rate="0.95" pitch="-1st"","Semua sistem telah dirancang. Buka profilmu untuk melihat dunia yang terbentuk."
nexa_module_school_01,NEXA,informative,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/module_school_01.mp3,"rate="0.95" pitch="-1st"","Modul satu. Smart School dua ribu empat puluh lima. Enam parameter menunggu keputusanmu."
nexa_module_city_01,NEXA,informative,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/module_city_01.mp3,"rate="0.95" pitch="-1st"","Modul dua. Kota ini dikelola oleh ORION. Dengarkan usulannya, tetapi keputusan tetap milikmu."
nexa_module_work_01,NEXA,calm,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/module_work_01.mp3,"rate="0.95" pitch="-1st"","Pekerjaan berubah. Kemampuan manusia juga harus berkembang."
nexa_module_work_02,NEXA,analytical,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/module_work_02.mp3,"rate="0.95" pitch="-1st"","Energi pengembangan terbatas: dua belas unit. Mana yang paling penting untuk dua ribu empat puluh lima?"
nexa_module_future_01,NEXA,calm,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/module_future_01.mp3,"rate="0.95" pitch="-1st"","Tidak ada masa depan yang tercipta tanpa pilihan. Setiap prinsip akan membentuk segel."
nexa_warning_01,NEXA,warning,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/warning_01.mp3,"rate="0.95" pitch="-1st"","Peringatan. Indikator kemanusiaan turun di bawah ambang aman. Sistem efisien, tetapi warga mulai kehilangan tempat."
nexa_warning_02,NEXA,warning,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/warning_02.mp3,"rate="0.95" pitch="-1st"","Peringatan. Tanggung jawab tidak terdefinisi. Jika sistem ini salah, tidak ada yang dapat menjawab."
nexa_warning_03,NEXA,warning,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/warning_03.mp3,"rate="0.95" pitch="-1st"","Otomasi melampaui kapasitas pengawasan manusia. Kecepatan naik, kendali menurun."
nexa_decision_01,NEXA,analytical,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/decision_01.mp3,"rate="0.95" pitch="-1st"","Pilihanmu menciptakan konsekuensi. Tidak ada yang salah — hanya trade-off yang berbeda."
nexa_decision_02,NEXA,affirming,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/decision_02.mp3,"rate="0.95" pitch="-1st"","Desain terkunci. Menghitung dampaknya terhadap dua ribu empat puluh lima."
nexa_decision_03,NEXA,analytical,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/decision_03.mp3,"rate="0.95" pitch="-1st"","Menghitung ulang. Parameter berubah, proyeksi ikut bergeser."
nexa_ending_01,NEXA,affirming,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/ending_01.mp3,"rate="0.95" pitch="-1st"","Saya dapat menghitung kemungkinan masa depan. Kamu yang memutuskan masa depan mana yang layak dibangun."
nexa_ending_02,NEXA,calm,"id-ID-Wavenet-C (atau id-ID-Standard-C) · speakingRate 0.95 · pitch -1.0",assets/audio/voice/nexa/ending_02.mp3,"rate="0.95" pitch="-1st"","Simulasi selesai. Dunia ini hanya satu dari banyak kemungkinan — dan kamu yang memilihnya."
mentor_intro,MENTOR,warm,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/intro.mp3,"rate="0.88" pitch="0st"","Teknologi tidak cukup hanya canggih. Kita harus memastikan masa depan tetap manusiawi."
mentor_explanation,MENTOR,explaining,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/explanation.mp3,"rate="0.88" pitch="0st"","AI dapat membantu belajar lebih personal."
mentor_explanation_02,MENTOR,concerned,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/explanation_02.mp3,"rate="0.88" pitch="0st"","Tetapi sekolah bukan hanya tempat menerima informasi. Perhatikan garis interaksi saat kamu menggeser parameter."
mentor_explanation_03,MENTOR,explaining,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/explanation_03.mp3,"rate="0.88" pitch="0st"","Setiap kenaikan di satu sisi biasanya menurunkan sisi lain. Itu bukan kegagalan — itu cara sistem bekerja."
mentor_reflection,MENTOR,reflective,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/reflection.mp3,"rate="0.88" pitch="0st"","Ini bukan hanya soal aturan. Ini soal nilai seperti apa yang ingin kita jaga."
mentor_reflection_02,MENTOR,encouraging,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/reflection_02.mp3,"rate="0.88" pitch="0st"","Bawa jawabanmu ke diskusi kelas. Masa depan dirancang bersama."
mentor_unlock,MENTOR,reflective,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/unlock.mp3,"rate="0.88" pitch="0st"","Ruang Konstitusi telah terbuka. Ini saatnya menuliskan nilai yang ingin kita jaga."
mentor_concern,MENTOR,concerned,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/concern.mp3,"rate="0.88" pitch="0st"","Coba lihat sekali lagi. Dunia yang kamu rancang efisien, tetapi apakah kamu ingin tinggal di dalamnya?"
mentor_praise,MENTOR,proud,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/praise.mp3,"rate="0.88" pitch="0st"","Kamu menimbang, bukan hanya memilih. Itu yang membedakan perancang dari pengguna."
mentor_debrief,MENTOR,warm,"id-ID-Wavenet-A · speakingRate 0.88 · pitch -0.5",assets/audio/voice/mentor/debrief.mp3,"rate="0.88" pitch="0st"","Bandingkan hasilmu dengan temanmu. Dunia yang sama-sama berhasil bisa terlihat sangat berbeda."
orion_offer_01,ORION,persuasive,"id-ID-Wavenet-B · speakingRate 1.08 · pitch -3.0",assets/audio/voice/orion/offer_01.mp3,"rate="1.08" pitch="-3st"","Sistem kota dapat menjadi lebih efisien."
